FILENAME,WORD_COUNT,CATEGORY
211202 DWFritz - Projector.md,1004,Valid
211222 Sato Elem - Prjctr.md,802,Valid
220318 Park Academy - SmartBoards & projectors2.md,772,Valid
220111 UWSOM T435 - HDMI.md,715,Valid
220218 Twality Mid School - HDMI2.md,639,Valid
220323 UofO Mariota Center - mult2.md,580,Valid
211122 Park Academy - SmartBoards & projectors.md,547,Valid
220125 METpdx hdmi.md,541,Valid
220314 Stoller Vinyards - audio & video.md,540,Valid
231222 Nordstrom LED wall1.md,530,Valid
220609 UofO Rec - mult.md,525,Valid
220216 UofO Mariota Center - mult.md,517,Valid
220509 AHS - 508 Zoom TPanel2.md,508,Valid
221117 WWalker Elem - Gym Projector.md,501,Valid
220103 TillamookPUD - display+.md,496,Valid
220103 Tillamook actual to file.md,493,Valid
220112 UWSOM T435 - HDMI follow-up1.md,488,Valid
230607 OSU Kearney 311-2.md,474,Valid
230821 Gartner Cafe Cart cam1.md,470,Valid
230914 METpdx hdmi.md,470,Valid
230816 UofO Mariota Center - 165&177 office vid1.md,465,Valid
221118 KPMG Pdx 3714 - Audio.md,460,Valid
220809 DWFritz - Projector2.md,452,Valid
221221 Hillsboro Lib1 - HDMI.md,449,Invalid
220915 UofO Mariota Center - TV Tuners2.md,447,Valid
221215 Mountainside HS - Gym TP2.md,443,Valid
230824 MVHS XR18 noise x3.md,439,Valid
220314 TillamookPUD - display+.md,429,Valid
230307 PPS Roos com iPads 1.md,428,Valid
230927 WSU Vanc UCB1 Projector & audio PRE01.md,416,Valid
221017 Mountainside HS - Gym TP.md,414,Valid
220210 Stoller Vinyards - Video Wall.md,406,Valid
230822 Forest Grove Power Disp Wall1.md,401,Valid
211129 MealsOnWheels - tp & screen.md,394,Valid
221111 UofO Mariota Center - M63 office vid.md,392,Valid
221027 Papé Auditorium Tech content bak 02.md,390,Valid
230509 Abcam Eug - Cafe RMC4.md,390,Valid
220805 Garmin Siletz - Spkr2b.md,389,Valid
221205 MAPS Salem - Controller NTP.md,380,Valid
230530 ThermoFisher - bldg J rm B & C.md,379,Valid
221129 Vanc ESD - Klickitat audio.md,378,Valid
220502 Mentor - D1115 Smith Rock2(2day).md,378,Valid
221104 UofO Knight - AirMedia macs.md,376,Valid
230222 Abcam Eug - Cafe tp3.md,373,Valid
220506 Garmin Siletz - USB4.md,372,Valid
230922 Cornelius city hall tp black.md,370,Valid
230331 MVHS Theater Stagebox1.md,369,Valid
230518 PPS 74th St ALS 2.md,369,Valid
230426 Abcam Eug1 - Cafe mics & Proj2-cGPT2.md,367,Valid
230328 OSU Kearney 311.md,365,Valid
230511 Selco CU Eug Crestron swx.md,361,Valid
221027 Pape Eugene - rm 103 Planar.md,360,Valid
240109 Synopsys Display #2 - 02.md,359,Valid
220622 AHS - 508 Zoom TPanel4.md,359,Valid
230927 WSU Vanc UCB1 Projector & audio PRE04.md,358,Valid
231004 Gartner 912&924 cal tp.md,353,Valid
220309-10 UWSOM T435 - HDMI follow-up2.md,349,Valid
211207 UofO Rec - TPanel+.md,349,Valid
231121 PPS Roos com iPads2.md,347,Valid
230905 PPS Roos MULT1.md,345,Valid
230228 UofO Ford 403 Zoom2.md,342,Valid
221020 Clackamas ESD - Spring DTP post-inst cam fix.md,338,Valid
220608 DLR - conf rm audio 7.md,337,Valid
230206 Acumed Hillsb - tp.md,335,Valid
231020 Vanc ESD - HDMI xmtr x2.md,334,Valid
240108 Forest Grove Power Disp Wall2.md,334,Valid
220706 Vanc Water Edu - Projector+.md,333,Valid
230928 Gartner Cafe Mic missing.md,332,Valid
221206 ColumBank Asto - Kiosk.md,332,Valid
220121 Hilton Duniway - spkrs+.md,322,Valid
221027 Papé Auditorium Tech content bak 01.md,318,Valid
220214 Stoller Vinyards - Video Wall2.md,317,Valid
230113 EWEB - rm 103 HDMI.md,317,Valid
230322 UofO Knight - rm108+.md,317,Valid
220207 Columbia Spo - Bugaboo.md,316,Valid
211209 MAPS Salem - tpanel date alt.md,315,Valid
220429 Hilton - DSP error.md,314,Valid
220601 Vanc CityCounChambers - Ph Audio.md,314,Valid
"230427 Abcam Eug - Cafe cam, Vaddio (230504).md",311,Valid
"230508 Abcam Eug - Cafe cam, Vaddio.md",311,Valid
240305 Cornelius city hall mult.md,307,Valid
231003 UofO Ford Ballroom screen Mid3.md,305,Valid
231016 Workday 329 vtc audio1.md,304,Valid
231012 Synopsys vtc audio2.md,301,Valid
230927 WSU Vanc UCB1 Projector & audio PRE02.md,301,Valid
LincolnHS - 137 Proj Lift 240205.md,300,Valid
211221 Scott Edwards Arch - FE3.md,299,Valid
220913 Clackamas ESD - HDMI Spring HMDI.md,297,Valid
221031 EWEB - rm 103 cam & hdmi.md,294,Valid
220222 AHS - Breakroom TPanel.md,293,Valid
220119 PCC Sylv projector.md,292,Valid
230728 DLR - Atrium DSP.md,289,Valid
231212 PPS Roos com iPads3.md,287,Valid
240314 Synopsys Mult Conf Podium HDMI Audio.md,286,Valid
230316 Clackamas ESD - MtHope Feedback.md,285,Valid
230110 Vanc ESD - Klickitat audio2.md,284,Valid
220517 Wells - System assess1.md,284,Valid
220406 Stoller Vinyards - audio & video2.md,282,Valid
220124 TillamookPUD - display+.md,282,Valid
220304 DLR - conf rm audio 4.md,282,Valid
220428 Garmin Siletz - USB2.md,280,Valid
220506 Salem Library - Auditorium5.md,278,Valid
231106 Abcam Eug - Cafe Projector RMC.md,278,Valid
230708 DLR - Atrium Mic levels & Restart2.md,277,Valid
220331 DLR - conf rm audio 6.md,277,Valid
220826 Garmin Siletz - Spkr2c.md,277,Valid
220602 Moreland Church - multiple.md,276,Valid
220630 Garmin Siletz - Spkr2.md,275,Valid
220418 Clackamas ESD - cams.md,274,Valid
230222 Abcam Eug - Mito cam3.md,272,Valid
220705 Oregon Justice Ctr - mult speaker issues.md,271,Valid
230531 Abcam Eug - Cafe cam img flip v1.md,271,Valid
220315 DLR - conf rm audio 5.md,271,Valid
230503 DLR - conf rm audio 12.md,271,Valid
240408 Synopsys Mult Conf Podium HDMI Audio3.md,270,Valid
211021 Pacific Crest school - Projector 1.md,269,Valid
230508 Abcam Eug - Cafe RMC3.md,267,Valid
231214 DLR - Atrium labels5.md,267,Valid
220504 Columbia Bank Tigard - HDMI.md,265,Valid
220802 Mentor - D1405 Redmond - Fan +.md,265,Valid
211020 METpdx - gym prjct.md,263,Valid
220106 Oregon Treasury - VOIP.md,262,Valid
230803 UofO Ford Ballroom screen Mid.md,262,Valid
230803 UofO Knight - rm106 cam ctl.md,261,Valid
230508 Abcam Eug - Cafe UC-Engine.md,258,Valid
220608 DLR - Atrium TP labels.md,258,Valid
220323 UofO Mariota Center - Source Routing.md,257,Valid
230504 PPS 74th St ALS 1.md,257,Valid
221129 Mentor - A103A Big Muddy.md,257,Valid
